date,company,ticker,open,high,low,close,volume,Multiplier,Type,Sector
2021-03-18,SPDR S&P 500 ETF Trust,SPY,394.480011,396.720001,390.75,391.480011,115349100,0.5,ETF,Index
2021-03-19,SPDR S&P 500 ETF Trust,SPY,389.880005,391.570007,387.149994,389.480011,113624500,0.5,ETF,Index
2021-03-22,SPDR S&P 500 ETF Trust,SPY,390.029999,394.070007,389.970001,392.589996,73778600,0.5,ETF,Index
2021-03-23,SPDR S&P 500 ETF Trust,SPY,391.910004,393.459991,388.660004,389.5,90686600,0.5,ETF,Index
2021-03-24,SPDR S&P 500 ETF Trust,SPY,391.0,392.75,387.470001,387.519989,97588600,0.5,ETF,Index
2021-03-25,SPDR S&P 500 ETF Trust,SPY,385.980011,390.549988,383.899994,389.700012,116128600,0.5,ETF,Index
2021-03-26,SPDR S&P 500 ETF Trust,SPY,390.929993,396.410004,390.290009,395.980011,114409100,0.5,ETF,Index
2021-03-29,SPDR S&P 500 ETF Trust,SPY,394.399994,396.75,392.809998,395.779999,108107600,0.5,ETF,Index
2021-03-30,SPDR S&P 500 ETF Trust,SPY,394.420013,395.450012,393.019989,394.730011,76262200,0.5,ETF,Index
2021-03-31,SPDR S&P 500 ETF Trust,SPY,395.339996,398.0,395.309998,396.329987,112734200,0.5,ETF,Index
2021-04-01,SPDR S&P 500 ETF Trust,SPY,398.399994,400.670013,398.179993,400.609985,99682900,0.5,ETF,Index
2021-04-05,SPDR S&P 500 ETF Trust,SPY,403.459991,406.940002,403.380005,406.359985,91684800,0.5,ETF,Index
2021-04-06,SPDR S&P 500 ETF Trust,SPY,405.76001,407.23999,405.399994,406.119995,62021000,0.5,ETF,Index
2021-04-07,SPDR S&P 500 ETF Trust,SPY,405.940002,406.959991,405.450012,406.589996,55836300,0.5,ETF,Index
2021-04-08,SPDR S&P 500 ETF Trust,SPY,407.929993,408.579987,406.929993,408.519989,57863100,0.5,ETF,Index
2021-04-09,SPDR S&P 500 ETF Trust,SPY,408.390015,411.670013,408.26001,411.48999,61104600,0.5,ETF,Index
2021-04-12,SPDR S&P 500 ETF Trust,SPY,410.850006,411.929993,410.200012,411.640015,56704900,0.5,ETF,Index
2021-04-13,SPDR S&P 500 ETF Trust,SPY,411.529999,413.529999,411.119995,412.859985,56551000,0.5,ETF,Index
2021-04-14,SPDR S&P 500 ETF Trust,SPY,412.829987,413.959991,410.869995,411.450012,61659900,0.5,ETF,Index
2021-04-15,SPDR S&P 500 ETF Trust,SPY,413.73999,416.160004,413.690002,415.869995,60229800,0.5,ETF,Index
2021-04-16,SPDR S&P 500 ETF Trust,SPY,417.25,417.910004,415.730011,417.26001,82037300,0.5,ETF,Index
2021-04-19,SPDR S&P 500 ETF Trust,SPY,416.26001,416.73999,413.790009,415.209991,78498500,0.5,ETF,Index
2021-04-20,SPDR S&P 500 ETF Trust,SPY,413.910004,415.089996,410.589996,412.170013,81851800,0.5,ETF,Index
2021-04-21,SPDR S&P 500 ETF Trust,SPY,411.51001,416.290009,411.359985,416.070007,66793000,0.5,ETF,Index
2021-04-22,SPDR S&P 500 ETF Trust,SPY,415.890015,416.779999,411.130005,412.269989,97582800,0.5,ETF,Index
2021-04-23,SPDR S&P 500 ETF Trust,SPY,412.869995,418.25,412.790009,416.73999,73209200,0.5,ETF,Index
2021-04-26,SPDR S&P 500 ETF Trust,SPY,417.440002,418.220001,416.809998,417.609985,52182400,0.5,ETF,Index
2021-04-27,SPDR S&P 500 ETF Trust,SPY,417.929993,418.140015,416.299988,417.519989,51303100,0.5,ETF,Index
2021-04-28,SPDR S&P 500 ETF Trust,SPY,417.809998,419.01001,416.899994,417.399994,51238900,0.5,ETF,Index
2021-04-29,SPDR S&P 500 ETF Trust,SPY,420.320007,420.720001,416.440002,420.059998,78544300,0.5,ETF,Index
2021-04-30,SPDR S&P 500 ETF Trust,SPY,417.630005,418.540009,416.339996,417.299988,85527000,0.5,ETF,Index
2021-05-03,SPDR S&P 500 ETF Trust,SPY,419.429993,419.839996,417.670013,418.200012,68128300,0.5,ETF,Index
2021-05-04,SPDR S&P 500 ETF Trust,SPY,416.070007,416.600006,411.670013,415.619995,101591200,0.5,ETF,Index
2021-05-05,SPDR S&P 500 ETF Trust,SPY,417.380005,417.630005,415.149994,415.75,60162200,0.5,ETF,Index
