date,company,ticker,open,high,low,close,volume,Multiplier,Type,Sector
2021-03-18,Gold,GC=F,1745.800049,1750.300049,1721.800049,1732.199951,138,0.25,Hedge,Commodities
2021-03-19,Gold,GC=F,1742.199951,1742.199951,1733.599976,1741.400024,13,0.25,Hedge,Commodities
2021-03-22,Gold,GC=F,1737.800049,1737.800049,1737.800049,1737.800049,51,0.25,Hedge,Commodities
2021-03-23,Gold,GC=F,1724.699951,1724.699951,1724.699951,1724.699951,6,0.25,Hedge,Commodities
2021-03-24,Gold,GC=F,1727.5,1732.900024,1727.5,1732.900024,26,0.25,Hedge,Commodities
2021-03-25,Gold,GC=F,1732.699951,1733.199951,1724.5,1724.900024,15,0.25,Hedge,Commodities
2021-03-26,Gold,GC=F,1721.300049,1732.199951,1721.300049,1732.199951,33,0.25,Hedge,Commodities
2021-03-29,Gold,GC=F,1712.099976,1712.099976,1712.099976,1712.099976,135457,0.25,Hedge,Commodities
2021-03-30,Gold,GC=F,1711.0,1712.599976,1676.5,1683.900024,25316,0.25,Hedge,Commodities
2021-03-31,Gold,GC=F,1683.699951,1713.800049,1676.5,1713.800049,762,0.25,Hedge,Commodities
2021-04-01,Gold,GC=F,1706.800049,1728.800049,1706.400024,1726.5,720,0.25,Hedge,Commodities
2021-04-05,Gold,GC=F,1727.900024,1729.699951,1721.900024,1727.0,275,0.25,Hedge,Commodities
2021-04-06,Gold,GC=F,1726.900024,1744.800049,1726.900024,1741.5,890,0.25,Hedge,Commodities
2021-04-07,Gold,GC=F,1742.699951,1742.699951,1733.699951,1740.099976,557,0.25,Hedge,Commodities
2021-04-08,Gold,GC=F,1736.0,1758.0,1734.599976,1756.800049,1298,0.25,Hedge,Commodities
2021-04-09,Gold,GC=F,1750.800049,1750.800049,1733.300049,1743.300049,484,0.25,Hedge,Commodities
2021-04-12,Gold,GC=F,1740.800049,1740.800049,1726.699951,1731.199951,40,0.25,Hedge,Commodities
2021-04-13,Gold,GC=F,1733.800049,1746.900024,1722.099976,1746.199951,367,0.25,Hedge,Commodities
2021-04-14,Gold,GC=F,1741.300049,1745.900024,1732.699951,1734.900024,1037,0.25,Hedge,Commodities
2021-04-15,Gold,GC=F,1740.099976,1767.900024,1740.099976,1765.400024,368,0.25,Hedge,Commodities
2021-04-16,Gold,GC=F,1770.400024,1779.5,1770.099976,1779.0,625,0.25,Hedge,Commodities
2021-04-19,Gold,GC=F,1782.099976,1788.5,1769.400024,1769.400024,144,0.25,Hedge,Commodities
2021-04-20,Gold,GC=F,1769.300049,1777.300049,1765.5,1777.300049,1464,0.25,Hedge,Commodities
2021-04-21,Gold,GC=F,1783.0,1794.099976,1777.699951,1792.300049,250,0.25,Hedge,Commodities
2021-04-22,Gold,GC=F,1794.199951,1794.199951,1779.5,1781.199951,159,0.25,Hedge,Commodities
2021-04-23,Gold,GC=F,1786.099976,1794.5,1772.0,1777.0,332,0.25,Hedge,Commodities
2021-04-26,Gold,GC=F,1778.0,1779.699951,1770.800049,1779.199951,549,0.25,Hedge,Commodities
2021-04-27,Gold,GC=F,1780.0,1782.0,1777.699951,1778.0,117,0.25,Hedge,Commodities
2021-04-28,Gold,GC=F,1768.199951,1774.0,1764.599976,1773.199951,756,0.25,Hedge,Commodities
2021-04-29,Gold,GC=F,1781.0,1789.0,1758.599976,1768.099976,196,0.25,Hedge,Commodities
2021-04-30,Gold,GC=F,1771.800049,1771.800049,1763.900024,1767.300049,18,0.25,Hedge,Commodities
2021-05-03,Gold,GC=F,1788.5,1793.0,1788.5,1791.400024,18,0.25,Hedge,Commodities
2021-05-04,Gold,GC=F,1788.199951,1788.5,1774.800049,1775.800049,182,0.25,Hedge,Commodities
2021-05-05,Gold,GC=F,1781.5,1784.099976,1779.199951,1784.099976,57,0.25,Hedge,Commodities
2021-05-06,Gold,GC=F,1788.900024,1815.5,1787.599976,1815.5,13,0.25,Hedge,Commodities
2021-05-07,Gold,GC=F,1842.900024,1842.900024,1831.099976,1831.099976,2,0.25,Hedge,Commodities
2021-05-10,Gold,GC=F,1835.599976,1845.599976,1835.400024,1837.5,13,0.25,Hedge,Commodities
2021-05-11,Gold,GC=F,1837.199951,1838.099976,1831.599976,1835.900024,420,0.25,Hedge,Commodities
2021-05-12,Gold,GC=F,1825.199951,1825.199951,1821.699951,1822.599976,3,0.25,Hedge,Commodities
