Date,type,Name,Ticker,Open,High,Low,Volume,Multiplier
2021-03-20,Crypto,Bitcoin,BTC-USD,58332.26171875,60031.28515625,58213.296875,50361731222,4
2021-03-21,Crypto,Bitcoin,BTC-USD,58309.9140625,58767.8984375,56005.6171875,51943414539,4
2021-03-22,Crypto,Bitcoin,BTC-USD,57517.890625,58471.48046875,54288.15625,56521454974,4
2021-03-23,Crypto,Bitcoin,BTC-USD,54511.66015625,55985.44140625,53470.6953125,56435023914,4
2021-03-24,Crypto,Bitcoin,BTC-USD,54710.48828125,57262.3828125,52514.33203125,70567223787,4
2021-03-25,Crypto,Bitcoin,BTC-USD,52726.74609375,53392.38671875,50856.5703125,67999812841,4
2021-03-26,Crypto,Bitcoin,BTC-USD,51683.01171875,55137.3125,51579.85546875,56652197978,4
2021-03-27,Crypto,Bitcoin,BTC-USD,55137.56640625,56568.21484375,54242.91015625,47266542233,4
2021-03-28,Crypto,Bitcoin,BTC-USD,55974.94140625,56610.3125,55071.11328125,47686580918,4
2021-03-29,Crypto,Bitcoin,BTC-USD,55947.8984375,58342.09765625,55139.33984375,57625587027,4
2021-03-30,Crypto,Bitcoin,BTC-USD,57750.1328125,59447.22265625,57251.55078125,54414116432,4
2021-03-31,Crypto,Bitcoin,BTC-USD,58930.27734375,59930.02734375,57726.41796875,65520826225,4
2021-04-01,Crypto,Bitcoin,BTC-USD,58926.5625,59586.0703125,58505.27734375,61669163792,4
2021-04-02,Crypto,Bitcoin,BTC-USD,59098.87890625,60267.1875,58869.28125,58727860620,4
2021-04-03,Crypto,Bitcoin,BTC-USD,59397.41015625,60110.26953125,57603.890625,59641344484,4
2021-04-04,Crypto,Bitcoin,BTC-USD,57604.83984375,58913.74609375,57168.67578125,50749662970,4
2021-04-05,Crypto,Bitcoin,BTC-USD,58760.875,59891.296875,57694.82421875,60706272115,4
2021-04-06,Crypto,Bitcoin,BTC-USD,59171.93359375,59479.578125,57646.80859375,66058027988,4
2021-04-07,Crypto,Bitcoin,BTC-USD,58186.5078125,58731.14453125,55604.0234375,75645303584,4
2021-04-08,Crypto,Bitcoin,BTC-USD,56099.9140625,58338.73828125,55879.0859375,53053855641,4
2021-04-09,Crypto,Bitcoin,BTC-USD,58326.5625,58937.046875,57807.86328125,46655208546,4
2021-04-10,Crypto,Bitcoin,BTC-USD,58253.77734375,61276.6640625,58038.70703125,58238470525,4
2021-04-11,Crypto,Bitcoin,BTC-USD,59846.23046875,60790.5546875,59289.796875,46280252580,4
2021-04-12,Crypto,Bitcoin,BTC-USD,60175.9453125,61253.03515625,59589.875,51828688519,4
2021-04-13,Crypto,Bitcoin,BTC-USD,59890.01953125,63742.28515625,59869.95703125,69983454362,4
2021-04-14,Crypto,Bitcoin,BTC-USD,63523.75390625,64863.09765625,61554.796875,77451779687,4
2021-04-15,Crypto,Bitcoin,BTC-USD,63075.1953125,63821.671875,62208.96484375,60954381579,4
2021-04-16,Crypto,Bitcoin,BTC-USD,63258.50390625,63594.72265625,60222.53125,84293007468,4
2021-04-17,Crypto,Bitcoin,BTC-USD,61529.921875,62572.17578125,60361.3515625,66138759198,4
2021-04-18,Crypto,Bitcoin,BTC-USD,60701.88671875,61057.45703125,52829.53515625,97468872758,4
2021-04-19,Crypto,Bitcoin,BTC-USD,56191.5859375,57520.0546875,54368.59375,65344865159,4
2021-04-20,Crypto,Bitcoin,BTC-USD,55681.79296875,57062.1484375,53448.046875,67849323955,4
2021-04-21,Crypto,Bitcoin,BTC-USD,56471.12890625,56757.97265625,53695.46875,54926612466,4
2021-04-22,Crypto,Bitcoin,BTC-USD,53857.10546875,55410.23046875,50583.8125,74798630778,4
2021-04-23,Crypto,Bitcoin,BTC-USD,51739.80859375,52120.79296875,47714.6640625,86668667320,4
2021-04-24,Crypto,Bitcoin,BTC-USD,51143.2265625,51167.5625,48805.28515625,49014494781,4
2021-04-25,Crypto,Bitcoin,BTC-USD,50052.83203125,50506.01953125,47159.484375,46117114240,4
2021-04-26,Crypto,Bitcoin,BTC-USD,49077.79296875,54288.00390625,48852.796875,58284039825,4
2021-04-27,Crypto,Bitcoin,BTC-USD,54030.3046875,55416.96484375,53319.1875,49448222757,4
2021-04-28,Crypto,Bitcoin,BTC-USD,55036.63671875,56227.20703125,53887.91796875,48000572955,4
2021-04-29,Crypto,Bitcoin,BTC-USD,54858.08984375,55115.84375,52418.02734375,46088929780,4
2021-04-30,Crypto,Bitcoin,BTC-USD,53568.6640625,57900.71875,53129.6015625,52395931985,4
2021-05-01,Crypto,Bitcoin,BTC-USD,57714.6640625,58448.33984375,57052.2734375,42836427360,4
2021-05-02,Crypto,Bitcoin,BTC-USD,57825.86328125,57902.59375,56141.90625,38177405335,4
2021-05-03,Crypto,Bitcoin,BTC-USD,56620.2734375,58973.30859375,56590.87109375,51713139031,4
2021-05-04,Crypto,Bitcoin,BTC-USD,57214.1796875,57214.1796875,53191.42578125,68564706967,4
2021-05-05,Crypto,Bitcoin,BTC-USD,53252.1640625,57911.36328125,52969.0546875,69241316747,4
2021-05-06,Crypto,Bitcoin,BTC-USD,57441.30859375,58363.31640625,55382.5078125,69523285106,4
2021-05-07,Crypto,Bitcoin,BTC-USD,56413.953125,58606.6328125,55321.84765625,68434023376,4
2021-05-08,Crypto,Bitcoin,BTC-USD,57352.765625,59464.61328125,56975.2109375,65382980634,4
2021-05-09,Crypto,Bitcoin,BTC-USD,58877.390625,59210.8828125,56482.00390625,65906690347,4
2021-05-10,Crypto,Bitcoin,BTC-USD,58250.87109375,59519.35546875,54071.45703125,71776546298,4
2021-05-11,Crypto,Bitcoin,BTC-USD,55847.2421875,56872.54296875,54608.65234375,61308396325,4
2021-05-12,Crypto,Bitcoin,BTC-USD,56714.53125,57939.36328125,49150.53515625,75215403907,4
2021-05-13,Crypto,Bitcoin,BTC-USD,49735.43359375,51330.84375,46980.01953125,96721152926,4
2021-05-14,Crypto,Bitcoin,BTC-USD,49682.98046875,51438.1171875,48868.578125,55737497453,4
2021-05-15,Crypto,Bitcoin,BTC-USD,49855.49609375,50639.6640625,46664.140625,59161047474,4
2021-05-16,Crypto,Bitcoin,BTC-USD,46716.63671875,49720.04296875,43963.3515625,64047871555,4
2021-05-17,Crypto,Bitcoin,BTC-USD,46415.8984375,46623.55859375,42207.2890625,74903638450,4
2021-05-18,Crypto,Bitcoin,BTC-USD,43488.05859375,45812.45703125,42367.83203125,56187365084,4
2021-05-19,Crypto,Bitcoin,BTC-USD,42944.9765625,43546.1171875,30681.49609375,126358098747,4
2021-05-20,Crypto,Bitcoin,BTC-USD,36753.66796875,42462.984375,35050.6171875,88281943359,4
