date,company,ticker,currency,exchange,open,high,low,close,adjusted_close,volume,source
2021-03-19,Berkshire Hathaway,BRK-B,USD,NYSE,252.309998,252.5,248.520004,250.990005,250.990005,16635400,Yahoo Finance chart endpoint
2021-03-22,Berkshire Hathaway,BRK-B,USD,NYSE,250.600006,251.669998,248.860001,250.360001,250.360001,5370400,Yahoo Finance chart endpoint
2021-03-23,Berkshire Hathaway,BRK-B,USD,NYSE,250.199997,251.169998,247.710007,248.309998,248.309998,4622400,Yahoo Finance chart endpoint
2021-03-24,Berkshire Hathaway,BRK-B,USD,NYSE,249.550003,251.889999,248.5,249.630005,249.630005,4165000,Yahoo Finance chart endpoint
2021-03-25,Berkshire Hathaway,BRK-B,USD,NYSE,249.380005,251.529999,246.789993,250.75,250.75,5500000,Yahoo Finance chart endpoint
2021-03-26,Berkshire Hathaway,BRK-B,USD,NYSE,252.75,257.390015,252.419998,256.769989,256.769989,5799100,Yahoo Finance chart endpoint
2021-03-29,Berkshire Hathaway,BRK-B,USD,NYSE,253.929993,260.049988,253.300003,258.820007,258.820007,6642600,Yahoo Finance chart endpoint
2021-03-30,Berkshire Hathaway,BRK-B,USD,NYSE,259.940002,261,257.23999,258.190002,258.190002,3878000,Yahoo Finance chart endpoint
2021-03-31,Berkshire Hathaway,BRK-B,USD,NYSE,256.859985,257.679993,255.169998,255.470001,255.470001,6578100,Yahoo Finance chart endpoint
2021-04-01,Berkshire Hathaway,BRK-B,USD,NYSE,255.740005,258.470001,254.800003,258.200012,258.200012,5573400,Yahoo Finance chart endpoint
2021-04-05,Berkshire Hathaway,BRK-B,USD,NYSE,260.019989,263.350006,260,262.660004,262.660004,5049600,Yahoo Finance chart endpoint
2021-04-06,Berkshire Hathaway,BRK-B,USD,NYSE,262.859985,263.339996,261.940002,263.059998,263.059998,3060600,Yahoo Finance chart endpoint
2021-04-07,Berkshire Hathaway,BRK-B,USD,NYSE,262.98999,264.339996,262.399994,263.619995,263.619995,3582700,Yahoo Finance chart endpoint
2021-04-08,Berkshire Hathaway,BRK-B,USD,NYSE,262.720001,263.929993,261.910004,263.51001,263.51001,3113300,Yahoo Finance chart endpoint
